question,heading,department
" 1865. Deputy Ryan O'Meara asked the Minister for Agriculture, Food and the Marine to provide a breakdown, on a tranche-by-tranche basis, of the total costs incurred under each scheme operating within TAMS 3, from tranche one up to and including tranche nine; and if he will make a statement on the matter. [2194/26] ",Agriculture Schemes,Agriculture
" 1866. Deputy Ryan O'Meara asked the Minister for Agriculture, Food and the Marine the estimated additional cost if 100% of tranche nine TAMS applications were to be approved; and if he will make a statement on the matter. [2195/26] ",Agriculture Schemes,Agriculture
" 1867. Deputy Ruth Coppinger asked the Minister for Agriculture, Food and the Marine his views on the Mercosur deal; and if he will make a statement on the matter. [2222/26] ",Trade Agreements,Agriculture
" 1868. Deputy Ruth Coppinger asked the Minister for Agriculture, Food and the Marine the contingency measures for farmers' livelihoods the State has in place that may be impacted by the Mercosur deal; and if he will make a statement on the matter. [2223/26] ",Agriculture Industry,Agriculture
" 1869. Deputy Richard Boyd Barrett asked the Minister for Agriculture, Food and the Marine if his Department is using artificial intelligence tools for any graphic design or similar work in place of artists, designers or videographers; and if so, to outline which projects or units of the Department are affected. [2239/26] ",Artificial Intelligence,Agriculture
" 1870. Deputy Richard Boyd Barrett asked the Minister for Agriculture, Food and the Marine whether any agencies or other bodies under his remit are using artificial intelligence tools for any graphic design or similar work in place of artists, designers or videographers; and if so, to outline which projects or units of the organisation are affected. [2257/26] ",Artificial Intelligence,Agriculture
" 1871. Deputy Michael Cahill asked the Minister for Agriculture, Food and the Marine if an ownership/responsibility issue can be examined in regard to Kilkeaveragh Pier, Portmagee, County Kerry, given Trinity College records seem to be at odds with those of his Department (details supplied); if he will request his Department to liaise with the college; and if he will make a statement on the matter. [2295/26] ",Land Issues,Agriculture
" 1872. Deputy John Clendennen asked the Minister for Agriculture, Food and the Marine to provide a list of the top ten capital or programme projects delivered by his Department or its agencies over the past three years which were completed on time and within the originally approved budget; the project name, location, delivery timeframe, original approved budget, final outturn cost, and delivery body, for each project; and if he will make a statement on the matter. [2421/26] ",Capital Expenditure Programme,Agriculture
" 1873. Deputy John Clendennen asked the Minister for Agriculture, Food and the Marine to detail the annual spend on external consultants by his Department and its agencies in each of the past three years; the number of consultancy contracts, the largest individual consultancy engagements by value, and whether internal capacity-building or cost-benefit assessments were undertaken prior to engaging external consultants; and if he will make a statement on the matter. [2439/26] ",Departmental Contracts,Agriculture
" 1874. Deputy John Clendennen asked the Minister for Agriculture, Food and the Marine to provide a list, for each of the past three years of the top ten projects per annum delivered by his Department or its agencies which were completed late and over the originally approved budget; the project name, location, original approved completion date, actual completion date, original approved budget, final outturn cost, cost overrun expressed in euro and percentage terms, and the delivery body for each project; and if he will make a statement on the matter. [2457/26] ",Capital Expenditure Programme,Agriculture
" 1875. Deputy Shay Brennan asked the Minister for Children, Disability and Equality if she will examine the current statutory framework governing redundancy protections for pregnant employees; if she will consider extending redundancy protection to cover the period from the point at which an employee notifies their employer of pregnancy, rather than only from the commencement of statutory maternity leave; and if she will report on any review being undertaken by her Department regarding international best practice in this area, including recent legislative developments in the UK, France, Germany and the Netherlands, which provide broader protections for pregnant workers. [1224/26] ",Employment Rights,Children
" 1876. Deputy Grace Boland asked the Minister for Children, Disability and Equality the role her Department plays in public awareness campaigns for paternity leave and parent's leave, including targeted outreach to employers and employees; the plans in place to increase awareness and take-up by men; and if she will make a statement on the matter. [1909/26] ",Parental Leave,Children
" 1877. Deputy Grace Boland asked the Minister for Children, Disability and Equality whether she will commission a review of barriers to fathers and other parents taking up paternity and parent's leave, including workplace practices and cultural norms, and publish options to increase take-up; and if she will make a statement on the matter. [1910/26] ",Parental Leave,Children
" 1878. Deputy Paul McAuliffe asked the Minister for Children, Disability and Equality the position regarding an assessment of need appointment for a person (details supplied). [73922/25] ",Disabilities Assessments,Children
" 1879. Deputy Emer Currie asked the Minister for Children, Disability and Equality if she will provide an update on her engagement with the Minister for Housing, Local Government and Heritage in relation to the review of the 2001 planning guidelines for childcare facilities; if she has met with the Minister for Housing, Local Government and Heritage in relation to this matter; the outcome of the meeting; her views on the length of time this review is taking; if she expects the review will be completed in the first half of 2026 or if she can indicate the timeframe for its completion; and if she will make a statement on the matter. [73943/25] ",Childcare Services,Children
" 1880. Deputy Emer Currie asked the Minister for Children, Disability and Equality if her Department has identified suitable properties for purchase in order to progress the commitment to State-led childcare facilities; the engagement her Department has had with local authorities and the Land Development Agency in relation to this matter; her views on whether properties built under the 2001 planning guidelines for childcare facilities which remain vacant could be utilised to add capacity; and if she will make a statement on the matter. [73944/25] ",Childcare Services,Children
" 1881. Deputy Ruairí Ó Murchú asked the Minister for Children, Disability and Equality the number of children currently waiting for assessment of needs, by county, in tabular form; and if she will make a statement on the matter. [74021/25] ",Disabilities Assessments,Children
" 1882. Deputy Ruairí Ó Murchú asked the Minister for Children, Disability and Equality the progress on the recommendations from reports or reviews into Tusla’s handling of child cases (details supplied); and if she will make a statement on the matter. [74023/25] ",Child and Family Agency,Children
" 1883. Deputy Ruairí Ó Murchú asked the Minister for Children, Disability and Equality the engagement there has been with Tusla to staff unfilled positions in the agency; the work being done to recruit for these positions; and if she will make a statement on the matter. [74024/25] ",Child and Family Agency,Children
" 1884. Deputy Ruairí Ó Murchú asked the Minister for Children, Disability and Equality the engagement there has been with the community and voluntary sector, which deals with referrals from Tusla, to expand capacity in that sector; and if she will make a statement on the matter. [74025/25] ",Children in Care,Children
" 1885. Deputy Ruairí Ó Murchú asked the Minister for Children, Disability and Equality the position regarding the implementation of the new model of care for complex family cases referred to Tusla; the timeline for the implementation of the new model; and if she will make a statement on the matter. [74026/25] ",Child and Family Agency,Children
" 1886. Deputy Ruairí Ó Murchú asked the Minister for Children, Disability and Equality the interactions her Department has had with the Department of Justice, Home Affairs and Migration regarding the creation of an inter-agency response to complex family cases and complex behavioural issues with children in community and residential care; and if she will make a statement on the matter. [74027/25] ",Departmental Meetings,Children
" 1887. Deputy Ruairí Ó Murchú asked the Minister for Children, Disability and Equality the direct engagement, which has taken place between her Department and survivors affected by the safeguarding failures identified in a report (details supplied) including when such engagement occurred; and the way in which survivors’ views were reflected in the State’s response; and if she will make a statement on the matter. [74061/25] ",Departmental Reports,Children
" 1888. Deputy Ruairí Ó Murchú asked the Minister for Children, Disability and Equality whether she accepts that survivors are central stakeholders in safeguarding and accountability processes, rather than peripheral to governance, audit, or compliance structures; and if she will make a statement on the matter. [74062/25] ",Departmental Reports,Children
" 1889. Deputy Ruairí Ó Murchú asked the Minister for Children, Disability and Equality the reason Departmental funding for the National Safeguarding Officer role recommended by a person (details supplied) to be independent has ended; and the way in which genuine independence is being safeguarded where that role is now retained directly by a service (details supplied); and if she will make a statement on the matter. [74063/25] ",Departmental Reports,Children
" 1890. Deputy Ruairí Ó Murchú asked the Minister for Children, Disability and Equality whether she will commit to establishing a formal, survivor-centred engagement and accountability framework to apply where serious safeguarding failures occur in independent, voluntary, or charitable organisations involving children; and if she will make a statement on the matter. [74064/25] ",Departmental Reports,Children
" 1891. Deputy Ruairí Ó Murchú asked the Minister for Children, Disability and Equality whether she is concerned that emphasising the organisational independence of a service (details supplied) in the context of serious safeguarding failures involving children, risks signalling to survivors of child sexual abuse that the State does not stand with them; and if she will make a statement on the matter. [74065/25] ",Departmental Reports,Children
" 1892. Deputy Sinéad Gibney asked the Minister for Children, Disability and Equality to provide a list of AI pilot projects which have taken place in her Department within the past 12 months; the expenditure associated with those projects; and whether they are still ongoing, in tabular form. [74127/25] ",Artificial Intelligence,Children
" 1893. Deputy Tom Brabazon asked the Minister for Children, Disability and Equality when the allocation of funding to support a pay deal for early years educators and managers will be announced; when representative bodies for this sector will receive notification of same; and if she will make a statement on the matter. [74233/25] ",Early Childhood Care and Education,Children
" 1894. Deputy Tom Brabazon asked the Minister for Children, Disability and Equality if her Department will consider bringing the early years sector under the remit of the Ombudsman for Children's Office [74234/25] ",Ombudsman for Children,Children
" 1895. Deputy Mark Wall asked the Minister for Children, Disability and Equality the number on assessment of needs waiting lists by county in tabular form including how many are waiting more than 6 months; and if she will make a statement on the matter. [74243/25] ",Disabilities Assessments,Children
" 1896. Deputy Sorca Clarke asked the Minister for Children, Disability and Equality whether standards or service-level targets exist for her Department or bodies under the aegis of her Department, in responding to correspondence from members of local authorities; if compliance with such standards is monitored; the reasons for delays or failures to respond to correspondence from elected members; and the measures being taken to ensure more consistent and timely communication going forward. [74268/25] ",Departmental Consultations,Children
" 1897. Deputy Ivana Bacik asked the Minister for Children, Disability and Equality her plans to reform the national childcare scheme to cover children with complex medical needs who are deemed unsuitable for group childcare settings due to their circumstances; and if she will make a statement on the matter. [74272/25] ",Childcare Services,Children
" 1898. Deputy Aisling Dempsey asked the Minister for Children, Disability and Equality when the national policy of the rights of children living in informal kinship care will be published; and if she will make a statement on the matter. [74295/25] ",Children in Care,Children
" 1899. Deputy Aisling Dempsey asked the Minister for Children, Disability and Equality if all informal kinship care arrangements will be recognised in Ireland as they are internationally as a form of alternative care; and if she will make a statement on the matter. [74296/25] ",Children in Care,Children
" 1900. Deputy Aisling Dempsey asked the Minister for Children, Disability and Equality if all formal kinship carers are paid the same allowances as foster carers; and if she will make a statement on the matter. [74315/25] ",Children in Care,Children
" 1901. Deputy Roderic O'Gorman asked the Minister for Children, Disability and Equality the status of the proposal to enshrine discrimination on the basis of socio-economic status as a non-discrimination ground, as outlined in the general scheme of the Equality (Miscellaneous Provisions) Bill 2024; the next steps her Department is taking on this issue; and if she will make a statement on the matter. [74366/25] ",Equality Issues,Children
" 1902. Deputy Claire Kerrane asked the Minister for Children, Disability and Equality whether she has assessed the risk of serious unintended consequences arising from her reform proposals (details supplied); and if she will make a statement on the matter. [74367/25] ",Departmental Policies,Children
" 1903. Deputy Claire Kerrane asked the Minister for Children, Disability and Equality if she is concerned that her proposed reforms will diminish the independence of guardians ad litem as they will be State employees, create potential conflicts of interest and reduce the ability of guardians to advocate freely for children (details supplied); and if she will make a statement on the matter. [74368/25] ",Guardians Ad Litem,Children
" 1904. Deputy Claire Kerrane asked the Minister for Children, Disability and Equality if she is concerned that her proposed reforms will result in children losing automatic access to legal representation through their GAL (details supplied); and if she will make a statement on the matter. [74369/25] ",Guardians Ad Litem,Children
" 1905. Deputy Claire Kerrane asked the Minister for Children, Disability and Equality to provide further details of phase one of the early years action plan; if she will provide specific details regarding how the plan will assist childcare service providers tackle rising and immediate costs and administrative burdens; and if she will make a statement on the matter. [74371/25] ",Childcare Services,Children
" 1906. Deputy Claire Kerrane asked the Minister for Children, Disability and Equality if her Department will recommend the inclusion of the early years sector on the Department of Enterprise, Trade and Employment, critical skills list to address the immediate staffing, retention and recruitment pressures across the early years sector; and if she will make a statement on the matter. [74372/25] ",Early Childhood Care and Education,Children
" 1907. Deputy Claire Kerrane asked the Minister for Children, Disability and Equality the reason little or no consultation with large full-time early years providers took place during the process of formulating phase one of the early years action plan, with just one large provider of only part-time services on the new childcare forum; her views on whether this lack of adequate consultation may have negatively impacted the plan; the steps she proposes to take to address the matter; and if she will make a statement on the matter. [74373/25] ",Early Childhood Care and Education,Children
" 1908. Deputy Ken O'Flynn asked the Minister for Children, Disability and Equality the longest period of time, in years, that any child has spent in State care since the establishment of Tusla in 2014; and to provide the year in which that duration was recorded, in aggregate form and without reference to any individual case. [74387/25] ",Children in Care,Children
" 1909. Deputy Ken O'Flynn asked the Minister for Children, Disability and Equality the number of children currently in State care who have remained continuously in care for more than 10 years, more than 15 years, and more than 18 years respectively; and to outline how these figures have changed in each year since 2015. [74388/25] ",Children in Care,Children
" 1910. Deputy Ken O'Flynn asked the Minister for Children, Disability and Equality the statutory, regulatory, or administrative timeframes apply to permanency planning for children in long-term State care; and whether any mandatory escalation, review, or senior-level oversight is triggered once a child exceeds a defined duration in care. [74389/25] ",Children in Care,Children
" 1911. Deputy Ken O'Flynn asked the Minister for Children, Disability and Equality if her Department monitors compliance with permanency planning timelines within Tusla at a national level; if so, the performance indicators used; and how breaches of those timelines are addressed as a matter of governance and accountability. [74390/25] ",Child and Family Agency,Children
" 1912. Deputy Ken O'Flynn asked the Minister for Children, Disability and Equality if her Department has considered the introduction of statutory maximum periods within which a permanency decision must be made for a child in State care, subject to exceptional judicial review; and if not, to outline the policy rationale for the absence of such limits. [74391/25] ",Children in Care,Children
" 1913. Deputy Ken O'Flynn asked the Minister for Children, Disability and Equality in respect of services funded by her Department, the governance and oversight arrangements that apply where internal investigations are carried out into the handling of cash or vouchers; the number of such investigations initiated between 2018 and 2024; whether each investigation resulted in a written report or assurance being furnished to the Department or to Tusla, or the HSE, as appropriate; if any findings of non-compliance, control failure, or breach of financial procedures were identified; if any disciplinary or managerial actions were taken arising from those investigations, including removals from post; and the measures her Department has taken to ensure that robust financial controls, audit trails, and safeguarding arrangements are in place across all funded services. [74404/25] ",Departmental Investigations,Children
" 1914. Deputy Cathy Bennett asked the Minister for Children, Disability and Equality if she acknowledges that core funding provided to the early learning sector will not cover auto enrolment in the pension scheme from January 2026; if this additional cost will be included in core funding for the early learning sector; and if she will make a statement on the matter. [74433/25] ",Early Childhood Care and Education,Children
" 1915. Deputy Cathy Bennett asked the Minister for Children, Disability and Equality the service plans for children with special needs from cradle to grave in Cavan and Monaghan; the schools for special needs respite services; adult day service; full time care; and if she will make a statement on the matter. [74434/25] ",Disability Services,Children
" 1916. Deputy Cathy Bennett asked the Minister for Children, Disability and Equality if the services currently in place are adequate for people with special needs in both Cavan and Monaghan; if Cavan and Monaghan both have their own services in each county for each age group; and if she will make a statement on the matter. [74435/25] ",Disability Services,Children
" 1917. Deputy Grace Boland asked the Minister for Children, Disability and Equality the office rental costs per annum for staff in her Department and for each agency or organisation under her remit, in each of the years between 2015 and 2025 inclusive, in tabular form; and if she will make a statement on the matter. [74442/25] ",Departmental Expenditure,Children
" 1918. Deputy Ken O'Flynn asked the Minister for Children, Disability and Equality further to Parliamentary Question No. 464 of 27 November 2025, if the investigation referred to by the Regional Chief Officer in relation to the handling of cash, or vouchers between 2018 and 2024 was a criminal investigation involving An Garda Síochána, or an internal administrative investigation only; and if she will make a statement on the matter. [74499/25] ",Child and Family Agency,Children
" 1919. Deputy Claire Kerrane asked the Minister for Children, Disability and Equality if she is aware of the funding difficulties for a services (details supplied); if she will review the funding to address the December 2025 funding gap; to provide confirmation of 2026 funding to unlock essential banking support and provide sustainable multi annual funding pathways that reflect the real cost of delivering a national service; and if she will make a statement on the matter. [74529/25] ",Departmental Funding,Children
" 1920. Deputy Naoise Ó Muirí asked the Minister for Children, Disability and Equality if there is a vulnerable adults database in place, both intellectual and physical; the data her Department collects to support vulnerable adults; and if she will make a statement on the matter. [74577/25] ",Departmental Data,Children
" 1921. Deputy Naoise Ó Muirí asked the Minister for Children, Disability and Equality her Department’s policy for supporting adults with intellectual disabilities after their primary carers die, given the large number with elderly primary carers and the diminishing stock of respite housing; and if she will make a statement on the matter. [74578/25] ",Disability Services,Children
" 1922. Deputy Paul Lawless asked the Minister for Children, Disability and Equality the number of children under five years of age currently on the caseloads of Children's Disability Network Teams (CDNTs) one, two, and three in County Mayo, this year and each of the past five years; and if she will make a statement on the matter. [74583/25] ",Disability Services,Children
" 1923. Deputy Paul Lawless asked the Minister for Children, Disability and Equality the number of children in County Mayo currently awaiting an assessment of need under the Disability Act 2005, this year and each of the last five years; and if she will make a statement on the matter. [74585/25] ",Disabilities Assessments,Children
" 1924. Deputy Paul Lawless asked the Minister for Children, Disability and Equality the number of children and young people under 18 years of age in County Mayo who have a formal autism diagnosis; and if she will make a statement on the matter. [74586/25] ",Disability Diagnoses,Children
" 1925. Deputy Paul Lawless asked the Minister for Children, Disability and Equality if she will provide a breakdown of autism diagnoses in County Mayo by age cohort (under 5, 5-12, 13-18) this year and each of the past five years; and if she will make a statement on the matter. [74587/25] ",Disability Diagnoses,Children
" 1926. Deputy Sorca Clarke asked the Minister for Children, Disability and Equality if foetal alcohol spectrum disorder Ireland are included in the disability forum engagements. [74594/25] ",Disability Issues,Children
" 1927. Deputy Sorca Clarke asked the Minister for Children, Disability and Equality the funding her Department has provided for an organisation (details supplied) in relation to their work with those with foetal alcohol spectrum disorder in 2023, 2024 and 2025; and if it is her intention to make funding available in 2026.; and if she will make a statement on the matter. [74596/25] ",Departmental Funding,Children
" 1928. Deputy Naoise Ó Muirí asked the Minister for Children, Disability and Equality the payroll cost of her Department and of each organisation or agency under its remit individually, in 2015 to 2025, by year, in tabular form. [74620/25] ",Departmental Expenditure,Children
" 1929. Deputy Richard Boyd Barrett asked the Minister for Children, Disability and Equality the alternative funding streams available to a community-based project (details supplied) which previously relied in part on the national childcare scheme support but now faces a funding shortfall as age-based eligibility thresholds for NCS funding have changed, notwithstanding the fact that the project provides wider community development, family support and youth intervention services beyond formal childcare; and if she will make a statement on the matter. [74637/25] ",Childcare Services,Children
" 1930. Deputy Richard Boyd Barrett asked the Minister for Children, Disability and Equality whether her Department has a policy or continuity plan to prevent the loss of community-based services for vulnerable teenagers where a programme has historically relied on the national childcare scheme support but now faces a shortfall as participants age out of eligibility; and whether she will engage with the service (details supplied) and relevant funders to secure sustainable multi-annual funding; and if she will make a statement on the matter. [74638/25] ",Childcare Services,Children
" 1931. Deputy Michael Fitzmaurice asked the Minister for Children, Disability and Equality if she will review the 2025 funding allocation and shortfall given from what was originally sought for a charity (details supplied); and if she will make a statement on the matter. [74673/25] ",Charitable and Voluntary Organisations,Children
" 1932. Deputy Richard Boyd Barrett asked the Minister for Children, Disability and Equality the reason the national childcare scheme (NCS) which is available to children from 6 months of age and offers up to 45 hours per week, while the AIM model which supports ECCE programmes with additional resources and capitation to accommodate children with additional needs is only available to those aged two years and nine months; the rationale for the cap of 30 hours per week under the Aim model, whereas the NCS is up to 40 hours per week; if she accept that this is viewed by parents as exclusionary and discriminatory and take steps to bring the AIM model in line with the NCS; and if she will make a statement on the matter. [74751/25] ",Childcare Services,Children
" 1933. Deputy Barry Ward asked the Minister for Children, Disability and Equality further to Parliamentary Question No. 919 of 18 November 2025, the actions she will take to address the significant additional costs imposed on families that have children attending childcare centres classified under Band F; and if she will make a statement on the matter. [74771/25] ",Childcare Services,Children
" 1934. Deputy Barry Ward asked the Minister for Children, Disability and Equality further to Parliamentary Question No. 919 of 18 November 2025, her views on the merits of creating a targeted financial support for families that have children attending childcare centres classified under Band F; and if she will make a statement on the matter. [74772/25] ",Childcare Services,Children
" 1935. Deputy Pat Buckley asked the Minister for Children, Disability and Equality to extend the national childcare scheme to all working families, as childcare is a necessary cost of employment, regardless of income band; and if she will make a statement on the matter. [74827/25] ",Childcare Services,Children
" 1936. Deputy Pat Buckley asked the Minister for Children, Disability and Equality to extend the national childcare scheme to working families that use private childminders due to the lack of available creche places; and if she will make a statement on the matter. [74828/25] ",Childcare Services,Children
" 1937. Deputy Pat Buckley asked the Minister for Children, Disability and Equality if flexible working and parental leave policies will be properly implemented, including allowing parental leave to be taken in single days rather than rigid seven-day blocks, which does not reflect the reality of family life; and if she will make a statement on the matter. [74830/25] ",Parental Leave,Children
" 1938. Deputy Sorca Clarke asked the Minister for Children, Disability and Equality the supports in place for a young person in foster care through non family placement if they turn 18 while in 6th year and preparing for their Leaving Certificate; and the supports available to them from her Department to progress on to third level education. [74841/25] ",Children in Care,Children
" 1939. Deputy Pa Daly asked the Minister for Children, Disability and Equality the waiting list for assessments of need, broken down by county, and by length of time waiting for an assessment in three month intervals; the waiting list for those who have been waiting longer than 6 months; 9 months, 12 months, 15 months, 18 months, 21 months, 24 months, 27 months, 30 months and 36 months; and if she will make a statement on the matter. [74848/25] ",Disabilities Assessments,Children
" 1940. Deputy Seán Crowe asked the Minister for Children, Disability and Equality the number of data breaches recorded by her Department in 2025; and the number that were reported to the Data Protection Commissioner.  [74889/25] ",Data Protection,Children
" 1941. Deputy Ciarán Ahern asked the Minister for Children, Disability and Equality the way in which the State regulates and monitors the use of restrictive practices (details supplied) in non-residential disability services; and if she will make a statement on the matter. [74941/25] ",Disability Services,Children
" 1942. Deputy Ciarán Ahern asked the Minister for Children, Disability and Equality the number of children which have been transferred outside the jurisdiction of Ireland for care; the legal basis; the settings and the countries, over the past 36 months; and if she will make a statement on the matter. [74947/25] ",Childcare Services,Children
" 1943. Deputy Ciarán Ahern asked the Minister for Children, Disability and Equality whether the Child and Family Agency funds, arranges or manages any care services other than those inspected by the Health Information and Quality Authority pursuant to the Health Act 2007 (as amended); for a list of any such services; and if she will make a statement on the matter. [74950/25] ",Child and Family Agency,Children
" 1944. Deputy Ciarán Ahern asked the Minister for Children, Disability and Equality the number of children currently awaiting accommodation in secure care units pursuant to court orders; the arrangements which have been made for these children in the interim; and if she will make a statement on the matter. [74951/25] ",Children in Care,Children
" 1945. Deputy Peadar Tóibín asked the Minister for Children, Disability and Equality the number of adoptions, both domestic and international, that have taken place in the State in each of the past 30 years, by year; the level of Exchequer funding allocated to the Adoption Authority of Ireland / adoption services in each of the past 30 years, by year; and if she will make a statement on the matter. [74958/25] ",Adoption Services,Children
" 1946. Deputy Paul Lawless asked the Minister for Children, Disability and Equality the reason budget 2026 prioritises long-term structural investment in disability services over immediate income supports, despite evidence that disabled people face the highest poverty rates in the State; and if she will make a statement on the matter. [75013/25] ",Budget 2026,Children
" 1947. Deputy Paul Lawless asked the Minister for Children, Disability and Equality her response to concerns from disability organisations that the €600 million increase in disability service funding will not benefit the majority of disabled people, who rely on income supports rather than HSE-delivered services; and if she will make a statement on the matter. [75016/25] ",Budget 2026,Children
" 1948. Deputy Paul Lawless asked the Minister for Children, Disability and Equality the expected timeline for the delivery of the additional disability services funded in Budget 2026, including residential places, respite, day services and assessments of need; her views on whether these timelines leave disabled people worse off in the interim; and if she will make a statement on the matter. [75017/25] ",Budget 2026,Children
" 1949. Deputy Paul Lawless asked the Minister for Children, Disability and Equality if she has met with an organisation (details supplied) and other advocacy groups regarding their concerns that Budget 2026 represents a “devastating setback” for disabled people; and what actions she intends to take in response; and if she will make a statement on the matter. [75018/25] ",Budget 2026,Children
" 1950. Deputy Michael Murphy asked the Minister for Children, Disability and Equality the process by which books are selected for inclusion in the My Little Library initiative; if there is a formal mechanism for Irish authors or publishers to submit titles for consideration; the way such information is communicated publicly; and if she will make a statement on the matter. [75019/25] ",Library Services,Children
" 1951. Deputy Ruth Coppinger asked the Minister for Children, Disability and Equality if it has been brought to her attention that two brothers suffering from Duchenne muscular dystrophy (details supplied) have had to share carers over the past year; the measures she will take to ensure they are receiving adequate care and support; and if she will make a statement on the matter. [75020/25] ",Disability Services,Children
" 1952. Deputy Pádraig Mac Lochlainn asked the Minister for Children, Disability and Equality when her Department will complete its assessment of the potential costs for the Exchequer, and an enhanced SME test, of the General Scheme of the Equality (Miscellaneous Provisions) Bill 2024; and if she will make a statement on the matter. [75032/25] ",Equality Issues,Children
" 1953. Deputy Emer Currie asked the Minister for Children, Disability and Equality the number of ELC services in each county division; the number of SAC services in each county division for 2023/2024 in tabular form; and if she will make a statement on the matter. [75040/25] ",Childcare Services,Children
" 1954. Deputy Shane Moynihan asked the Minister for Children, Disability and Equality if she will review the joint protocol between the HSE and Tusla to ensure that children and young adults leaving care, particularly those with complex needs such as foetal alcohol spectrum disorder, are prioritised for housing and support services; if she will address the situation where local authorities do not prioritise care leavers for housing, leaving vulnerable individuals homeless; and the measures that will be introduced to guarantee that care leavers with lifelong support needs are provided with sustainable housing and wraparound supports. [75046/25] ",Housing Provision,Children
" 1955. Deputy Emer Currie asked the Minister for Children, Disability and Equality the vacant childcare places in ELC and SAC services for the years 2020- 2021, 2021-2022, 2022-2023 and 2024-2025; and the overall national average from 2020 to 2025, by county, in tabular form. [75082/25] ",Childcare Services,Children
" 1956. Deputy James O'Connor asked the Minister for Children, Disability and Equality the number of projects in her Department that were delayed in 2023 and 2024 due to the change of document from the Public Spending Code to the Infrastructure Guidelines, in tabular form; and if she will make a statement on the matter. [75103/25] ",Public Spending Code,Children
" 1957. Deputy Marie Sherlock asked the Minister for Children, Disability and Equality the average national childcare fee in 2025 encompassing the NCS subsidy and parent contribution. [75124/25] ",Childcare Services,Children
" 1958. Deputy Marie Sherlock asked the Minister for Children, Disability and Equality the payment to early years provider by the State in respect of a sponsored child. [75125/25] ",Childcare Services,Children
" 1959. Deputy Marie Sherlock asked the Minister for Children, Disability and Equality to account for the difference, if any, between the combined parent contribution and NCS relative the payment made in respect of a sponsored child. [75126/25] ",Childcare Services,Children
" 1960. Deputy Ruth Coppinger asked the Minister for Children, Disability and Equality if she will consider legislation to allow people dealing with severe menstrual symptoms to apply for paid time-off without the need for a doctors note; and if she will make a statement on the matter. [75154/25] ",Legislative Measures,Children
" 1961. Deputy Ruth Coppinger asked the Minister for Children, Disability and Equality to provide details of the process to be undertaken in the new educational assessments (details supplied); the person or body which will be undertaking these educational assessments; and if she will make a statement on the matter. [75169/25] ",Special Educational Needs,Children
" 1962. Deputy Liam Quaide asked the Minister for Children, Disability and Equality the total spend by her Department on private for-profit companies for each of the years 2021 to 2025 ; and the breakdown of this spend on the different types of services being contracted. [75178/25] ",Departmental Contracts,Children
" 1963. Deputy Liam Quaide asked the Minister for Children, Disability and Equality the number of residential placements being provided by for-profit companies for young people aged under 18, for each of the years 2021 to 2025; and the breakdown of the costs for each year (details supplied), in tabular form. [75179/25] ",Departmental Contracts,Children
" 1964. Deputy Liam Quaide asked the Minister for Children, Disability and Equality the projected percentage of her Department's €3.8 billion investment in disability for 2026 that will be spent on services provided by private-for-profit companies; the breakdown of what this will equate to in respect of placements, assessments of needs and the other categories of service that this figure encompasses. [75180/25] ",Departmental Contracts,Children
" 1965. Deputy Matt Carthy asked the Minister for Children, Disability and Equality the salary scale that applies to the Secretary General in her Department and the head of each agency for which they are responsible; whether this scale has changed in the past two years or there are proposals to change this scale in the coming period; and if she will make a statement on the matter. [75189/25] ",Public Sector Pay,Children
" 1966. Deputy Matt Carthy asked the Minister for Children, Disability and Equality the amount expended on advertising and promotion in her Department, and within each agency for which she is responsible, for 2022 to 2024, by year and budgeted for 2026; and if she will make a statement on the matter. [75207/25] ",Departmental Advertising,Children
" 1967. Deputy Matt Carthy asked the Minister for Children, Disability and Equality the number of press, media or communications staff currently employed in her Department and within each agency for which she is responsible; the cost of these staff for 2025 and the expected cost for 2026; whether there are proposals to increase the number of such staff; and if she will make a statement on the matter. [75225/25] ",Departmental Staff,Children
" 1968. Deputy Matt Carthy asked the Minister for Children, Disability and Equality the estimated cost to her Department and each agency for which they are responsible arising from Ireland’s presidency of the European Council; the line items or events for which a cost is expected to arise and the estimated cost for each; and if she will make a statement on the matter. [75243/25] ",EU Presidency,Children
" 1969. Deputy Matt Carthy asked the Minister for Children, Disability and Equality the priorities of her Department and each agency for which they are responsible for, in respect of Ireland’s presidency of the European Council; and if she will make a statement on the matter. [75261/25] ",EU Presidency,Children
" 1970. Deputy Liam Quaide asked the Minister for Children, Disability and Equality the estimated number of people aged under 65 who entered nursing home care for each of the years 2021 to 2025, respectively; and for the estimated number of people in the same age group who transitioned out of nursing home care in each of those years, in tabular form. [75280/25] ",Nursing Homes,Children
" 1971. Deputy Matt Carthy asked the Minister for Children, Disability and Equality , further to Parliamentary Question No.14 of 8 December 2025, and the publication of the National Services Plan 2026, if she can provide assurances that a service (details supplied) will be operational until the opening of a permanent service; that sufficient funding has been made available for 2026; if she has reviewed the potential to retain the service following the opening of the permanent centre; and if she will make a statement on the matter. [75281/25] ",Disability Services,Children
